iter	RMSE
0	13.35990366
1	12.44631435
2	11.51446418
3	10.70884661
4	9.995015209
5	9.404589423
6	8.821503571
7	8.361446963
8	7.876289328
9	7.406878023
10	6.990204367
11	6.669554026
12	6.339473727
13	6.072749521
14	5.810382293
15	5.587949932
16	5.377133655
17	5.211364875
18	5.057020218
19	4.923217
20	4.79475252
21	4.683704497
22	4.601720612
23	4.531891179
24	4.455064716
25	4.391609577
26	4.332456249
27	4.27836326
28	4.231031399
29	4.189806152
30	4.151616962
31	4.110618681
32	4.069757091
33	4.043138261
34	4.014898018
35	3.981350762
36	3.956206355
37	3.929896658
38	3.905931895
39	3.892090507
40	3.868904373
41	3.850735403
42	3.839511676
43	3.819632322
44	3.797113209
45	3.781976581
46	3.764743176
47	3.74506628
48	3.732135803
49	3.722881356
50	3.712684892
51	3.692901761
52	3.680629929
53	3.665747177
54	3.652194765
55	3.638481401
56	3.625473789
57	3.61073007
58	3.601120601
59	3.593813173
60	3.586515436
61	3.581613073
62	3.575247425
63	3.570837712
64	3.559513758
65	3.550782504
66	3.539294341
67	3.529489842
68	3.524109501
69	3.517961356
70	3.511733755
71	3.50535347
72	3.493845954
73	3.489196256
74	3.478438766
75	3.470564805
76	3.46484183
77	3.458658608
78	3.452950716
79	3.443665735
80	3.435144892
81	3.42859221
82	3.420140374
83	3.415150217
84	3.414070645
85	3.410099111
86	3.399667355
87	3.393960067
88	3.391368189
89	3.383736072
90	3.378285558
91	3.374947033
92	3.371174993
93	3.362068427
94	3.355592255
95	3.350355456
96	3.344638141
97	3.338588374
98	3.336282906
99	3.331190252
