iter	Passed	Remaining
0	52	52386
1	53	26504
2	53	17844
3	54	13502
4	54	10898
5	55	9167
6	56	7952
7	57	7068
8	57	6362
9	59	5891
10	60	5410
11	60	5010
12	61	4673
13	62	4424
14	63	4201
15	64	3971
16	65	3777
17	65	3596
18	66	3433
19	67	3286
20	67	3155
21	68	3035
22	68	2925
23	69	2824
24	70	2732
25	70	2652
26	71	2581
27	72	2507
28	72	2441
29	73	2377
30	74	2317
31	74	2267
32	75	2219
33	76	2176
34	77	2130
35	77	2085
36	78	2042
37	79	2007
38	79	1967
39	80	1930
40	80	1894
41	81	1859
42	82	1827
43	82	1795
44	83	1765
45	83	1735
46	84	1708
47	84	1682
48	85	1657
49	86	1635
50	86	1613
51	87	1591
52	87	1571
53	88	1552
54	89	1533
55	89	1514
56	90	1497
57	91	1479
58	91	1462
59	92	1445
60	92	1429
61	93	1413
62	94	1398
63	94	1383
64	95	1370
65	95	1356
66	96	1342
67	96	1328
68	97	1315
69	98	1302
70	98	1289
71	99	1277
72	99	1265
73	100	1254
74	100	1243
75	101	1234
76	102	1224
77	102	1214
78	103	1205
79	104	1196
80	104	1187
81	105	1179
82	105	1166
83	106	1157
84	106	1148
85	107	1140
86	107	1131
87	108	1123
88	109	1121
89	110	1113
90	110	1106
91	111	1098
92	111	1090
93	112	1083
94	112	1076
95	113	1068
96	114	1065
97	115	1061
98	115	1055
99	116	1049
100	117	1043
101	118	1040
102	118	1034
103	119	1028
104	119	1022
105	120	1016
106	121	1010
107	121	1004
108	122	998
109	122	993
110	123	987
111	123	981
112	124	975
113	124	970
114	125	965
115	125	959
116	126	953
117	126	948
118	127	943
119	128	938
120	128	933
121	128	928
122	129	924
123	130	920
124	130	916
125	131	913
126	132	907
127	132	904
128	133	901
129	134	897
130	134	893
131	135	889
132	135	885
133	136	881
134	137	878
135	137	874
136	138	871
137	138	867
138	139	863
139	140	860
140	140	857
141	141	852
142	141	849
143	142	845
144	142	842
145	143	838
146	144	837
147	144	834
148	145	831
149	146	829
150	146	826
151	147	824
152	148	821
153	150	824
154	150	821
155	151	818
156	151	815
157	152	811
158	152	808
159	153	805
160	153	801
161	154	798
162	154	795
163	155	793
164	156	789
165	156	787
166	157	784
167	157	781
168	158	778
169	159	777
170	160	776
171	160	773
172	161	774
173	163	775
174	165	780
175	166	778
176	167	776
177	167	774
178	168	772
179	168	769
180	169	767
181	170	764
182	170	761
183	171	759
184	171	756
185	172	754
186	172	751
187	173	749
188	174	747
189	175	746
190	175	744
191	176	742
192	177	741
193	178	739
194	178	738
195	180	739
196	180	737
197	181	735
198	182	733
199	182	730
200	183	728
201	183	726
202	184	724
203	184	721
204	185	719
205	186	717
206	186	715
207	187	713
208	188	711
209	189	713
210	190	714
211	192	713
212	192	712
213	193	710
214	194	709
215	194	707
216	195	705
217	195	702
218	196	700
219	197	698
220	197	696
221	198	694
222	198	692
223	199	690
224	199	687
225	200	685
226	200	683
227	201	681
228	202	681
229	203	680
230	204	681
231	205	680
232	206	680
233	207	680
234	208	678
235	208	676
236	209	674
237	209	672
238	210	670
239	210	668
240	211	665
241	211	664
242	212	661
243	213	660
244	213	658
245	214	656
246	214	654
247	216	656
248	217	655
249	217	653
250	219	653
251	220	653
252	220	651
253	221	649
254	221	648
255	222	646
256	223	645
257	224	644
258	224	642
259	225	640
260	225	639
261	226	638
262	227	637
263	227	635
264	228	633
265	228	631
266	229	630
267	230	629
268	231	628
269	231	626
270	232	625
271	233	624
272	233	622
273	234	621
274	235	621
275	236	620
276	237	618
277	237	617
278	238	615
279	238	613
280	238	611
281	239	609
282	239	607
283	240	606
284	241	604
285	241	603
286	242	601
287	242	599
288	243	598
289	243	596
290	244	595
291	245	594
292	246	593
293	246	592
294	247	591
295	248	590
296	249	589
297	249	588
298	250	586
299	250	585
300	251	584
301	252	582
302	252	581
303	253	579
304	253	577
305	254	576
306	254	574
307	255	573
308	255	571
309	256	570
310	256	568
311	257	567
312	257	565
313	258	564
314	258	562
315	259	561
316	259	560
317	260	559
318	261	558
319	262	557
320	262	556
321	263	555
322	264	554
323	265	553
324	265	551
325	266	550
326	267	549
327	267	548
328	268	546
329	268	545
330	269	544
331	269	542
332	270	541
333	270	540
334	271	538
335	271	537
336	272	535
337	272	534
338	273	533
339	274	531
340	274	530
341	275	529
342	276	529
343	276	527
344	277	526
345	278	525
346	278	524
347	279	523
348	280	522
349	280	521
350	281	519
351	281	518
352	282	517
353	282	515
354	283	514
355	283	513
356	284	512
357	285	511
358	285	510
359	286	508
360	286	507
361	287	506
362	287	505
363	288	504
364	289	502
365	290	502
366	291	502
367	292	502
368	293	501
369	294	501
370	295	500
371	297	502
372	298	501
373	298	500
374	299	499
375	300	497
376	300	496
377	301	495
378	301	494
379	302	493
380	303	492
381	303	491
382	305	492
383	307	493
384	308	492
385	309	492
386	310	491
387	311	490
388	312	490
389	312	489
390	313	488
391	314	487
392	315	487
393	316	486
394	316	485
395	317	484
396	318	483
397	318	482
398	319	481
399	320	481
400	322	481
401	325	483
402	326	483
403	326	482
404	327	481
405	328	480
406	328	479
407	329	477
408	329	476
409	330	475
410	332	476
411	334	477
412	337	479
413	338	479
414	339	478
415	340	477
416	341	477
417	342	476
418	342	475
419	343	474
420	343	473
421	344	471
422	345	470
423	345	469
424	346	468
425	347	468
426	349	468
427	349	467
428	350	466
429	351	466
430	352	465
431	353	464
432	353	463
433	354	462
434	355	461
435	355	460
436	356	458
437	356	457
438	357	456
439	357	455
440	358	454
441	358	453
442	359	452
443	360	451
444	363	452
445	364	452
446	365	452
447	366	451
448	366	450
449	367	449
450	368	448
451	368	446
452	369	445
453	369	444
454	370	443
455	370	442
456	371	441
457	372	440
458	372	439
459	373	438
460	374	437
461	375	436
462	376	436
463	376	435
464	377	434
465	378	433
466	379	433
467	380	432
468	381	432
469	382	431
470	383	430
471	383	429
472	384	428
473	384	427
474	385	425
475	385	424
476	386	423
477	386	422
478	387	421
479	388	420
480	389	420
481	390	419
482	391	419
483	392	418
484	393	417
485	393	416
486	394	415
487	395	414
488	396	413
489	396	412
490	397	412
491	398	411
492	399	410
493	400	410
494	401	410
495	402	409
496	403	408
497	404	407
498	405	406
499	406	406
500	407	405
501	408	404
502	408	403
503	409	402
504	409	401
505	410	400
506	411	399
507	411	398
508	412	397
509	413	396
510	413	395
511	414	394
512	414	393
513	415	392
514	416	391
515	416	390
516	417	390
517	418	389
518	419	388
519	420	388
520	421	387
521	422	387
522	423	386
523	424	385
524	424	384
525	425	383
526	426	382
527	426	381
528	427	380
529	427	379
530	428	378
531	428	377
532	429	376
533	429	375
534	430	374
535	431	373
536	431	372
537	432	371
538	433	370
539	434	370
540	435	369
541	436	368
542	436	367
543	437	366
544	438	365
545	438	364
546	439	363
547	439	362
548	440	361
549	441	361
550	441	360
551	442	359
552	443	358
553	443	357
554	444	356
555	444	355
556	445	354
557	445	353
558	446	352
559	447	351
560	448	350
561	450	351
562	451	350
563	452	350
564	453	349
565	453	348
566	454	347
567	454	346
568	455	345
569	456	344
570	456	343
571	457	342
572	457	341
573	458	340
574	458	339
575	459	338
576	459	337
577	460	336
578	461	335
579	461	334
580	463	334
581	463	333
